Datetime,Datetime2,Intensity,UV Index,Voltage
15:18:37.61,25/7/22 15:22:58,0.15,0,0.1
15:18:36.54,25/7/22 15:22:57,0.16,0,0.11
15:18:35.50,25/7/22 15:22:56,0.15,0,0.1
15:18:34.43,25/7/22 15:22:55,0.15,0,0.1
15:18:33.39,25/7/22 15:22:54,0.16,0,0.11
15:18:32.32,25/7/22 15:22:53,0.16,0,0.11
15:18:31.24,25/7/22 15:22:52,0.15,0,0.1
15:18:30.20,25/7/22 15:22:50,0.16,0,0.11
15:18:29.15,25/7/22 15:22:49,0.16,0,0.11
15:18:28.11,25/7/22 15:22:48,0.16,0,0.11
15:18:27.04,25/7/22 15:22:47,0.16,0,0.11
15:18:26.00,25/7/22 15:22:46,0.15,0,0.1
15:18:24.92,25/7/22 15:22:45,0.15,0,0.1
15:18:23.84,25/7/22 15:22:44,0.16,0,0.11
15:18:22.80,25/7/22 15:22:43,0.15,0,0.1
15:18:21.74,25/7/22 15:22:42,0.15,0,0.1
15:18:20.69,25/7/22 15:22:41,0.16,0,0.11
15:18:19.62,25/7/22 15:22:40,0.16,0,0.11
15:18:18.57,25/7/22 15:22:39,0.15,0,0.1
15:18:17.50,25/7/22 15:22:38,0.15,0,0.1
15:18:16.44,25/7/22 15:22:37,0.17,0,0.11
15:18:15.36,25/7/22 15:22:36,0.16,0,0.11
15:18:14.30,25/7/22 15:22:35,0.15,0,0.1
15:18:13.25,25/7/22 15:22:34,0.15,0,0.1
15:18:12.17,25/7/22 15:22:32,0.15,0,0.1
15:18:11.10,25/7/22 15:22:31,0.16,0,0.11
15:18:10.06,25/7/22 15:22:30,0.15,0,0.1
15:18:08.99,25/7/22 15:22:29,0.15,0,0.1
15:18:07.94,25/7/22 15:22:28,0.16,0,0.11
15:18:06.87,25/7/22 15:22:27,0.16,0,0.11
15:18:05.80,25/7/22 15:22:26,0.15,0,0.1
15:18:04.73,25/7/22 15:22:25,0.16,0,0.11
15:18:03.66,25/7/22 15:22:24,0.15,0,0.1
15:18:02.62,25/7/22 15:22:23,0.15,0,0.1
15:18:01.58,25/7/22 15:22:22,0.15,0,0.1
15:18:00.49,25/7/22 15:22:21,0.15,0,0.1
15:17:59.42,25/7/22 15:22:20,0.16,0,0.11
15:17:58.39,25/7/22 15:22:19,0.15,0,0.1
15:17:57.33,25/7/22 15:22:18,0.15,0,0.1
15:17:56.30,25/7/22 15:22:17,0.15,0,0.1
15:17:55.24,25/7/22 15:22:16,0.15,0,0.1
15:17:54.21,25/7/22 15:22:14,0.15,0,0.1
15:17:53.16,25/7/22 15:22:13,0.15,0,0.1
15:17:52.10,25/7/22 15:22:12,0.15,0,0.1
15:17:51.01,25/7/22 15:22:11,0.16,0,0.11
15:17:49.96,25/7/22 15:22:10,0.17,0,0.11
15:17:48.88,25/7/22 15:22:9,0.16,0,0.11
15:17:47.83,25/7/22 15:22:8,0.15,0,0.1
15:17:46.76,25/7/22 15:22:7,0.15,0,0.1
15:17:45.72,25/7/22 15:22:6,0.15,0,0.1
15:17:44.68,25/7/22 15:22:5,0.15,0,0.1
15:17:43.61,25/7/22 15:22:4,0.15,0,0.1
15:17:42.52,25/7/22 15:22:3,0.15,0,0.1
15:17:41.46,25/7/22 15:22:2,0.16,0,0.11
15:17:40.38,25/7/22 15:22:1,0.15,0,0.1
15:17:39.31,25/7/22 15:22:0,0.16,0,0.11
15:17:38.24,25/7/22 15:21:59,0.15,0,0.1
15:17:37.18,25/7/22 15:21:57,0.16,0,0.11
15:17:36.10,25/7/22 15:21:56,0.15,0,0.1
15:17:35.06,25/7/22 15:21:55,0.16,0,0.11
15:17:34.01,25/7/22 15:21:54,0.16,0,0.11
15:17:32.94,25/7/22 15:21:53,0.16,0,0.11
15:17:31.90,25/7/22 15:21:52,0.15,0,0.1
15:17:30.83,25/7/22 15:21:51,0.15,0,0.1
15:17:29.76,25/7/22 15:21:50,0.17,0,0.11
15:17:28.68,25/7/22 15:21:49,0.15,0,0.1
15:17:27.63,25/7/22 15:21:48,0.16,0,0.11
15:17:26.59,25/7/22 15:21:47,0.16,0,0.11
15:17:25.53,25/7/22 15:21:46,0.16,0,0.11
15:17:24.46,25/7/22 15:21:45,0.15,0,0.1
15:17:23.42,25/7/22 15:21:44,0.16,0,0.11
15:17:22.37,25/7/22 15:21:43,0.16,0,0.11
15:17:21.31,25/7/22 15:21:42,0.16,0,0.11
15:17:20.24,25/7/22 15:21:41,0.16,0,0.11
15:17:19.21,25/7/22 15:21:39,0.15,0,0.1
15:17:18.15,25/7/22 15:21:38,0.15,0,0.1
15:17:17.12,25/7/22 15:21:37,0.15,0,0.1
15:17:16.05,25/7/22 15:21:36,0.15,0,0.1
15:17:14.97,25/7/22 15:21:35,0.16,0,0.11
15:17:13.91,25/7/22 15:21:34,0.15,0,0.1
15:17:12.83,25/7/22 15:21:33,0.17,0,0.11
15:17:11.77,25/7/22 15:21:32,0.15,0,0.1
15:17:10.69,25/7/22 15:21:31,0.16,0,0.11
15:17:09.61,25/7/22 15:21:30,0.15,0,0.1
15:17:08.56,25/7/22 15:21:29,0.16,0,0.11
15:17:07.51,25/7/22 15:21:28,0.15,0,0.1
15:17:06.43,25/7/22 15:21:27,0.15,0,0.1
15:17:05.39,25/7/22 15:21:26,0.16,0,0.11
15:17:04.31,25/7/22 15:21:25,0.16,0,0.11
15:17:03.27,25/7/22 15:21:24,0.15,0,0.1
15:17:02.22,25/7/22 15:21:22,0.15,0,0.1
15:17:01.15,25/7/22 15:21:21,0.15,0,0.1
15:17:00.09,25/7/22 15:21:20,0.16,0,0.11
15:16:59.04,25/7/22 15:21:19,0.15,0,0.1
15:16:57.98,25/7/22 15:21:18,0.15,0,0.1
15:16:56.90,25/7/22 15:21:17,0.17,0,0.11
15:16:55.85,25/7/22 15:21:16,0.15,0,0.1
15:16:54.78,25/7/22 15:21:15,0.15,0,0.1
15:16:53.71,25/7/22 15:21:14,0.16,0,0.11
15:16:52.67,25/7/22 15:21:13,0.15,0,0.1
15:16:51.59,25/7/22 15:21:12,0.15,0,0.1
15:16:50.52,25/7/22 15:21:11,0.16,0,0.11
15:16:49.45,25/7/22 15:21:10,0.15,0,0.1
15:16:48.40,25/7/22 15:21:9,0.15,0,0.1
15:16:47.34,25/7/22 15:21:8,0.15,0,0.1
15:16:46.27,25/7/22 15:21:7,0.16,0,0.11
15:16:45.19,25/7/22 15:21:5,0.15,0,0.1
15:16:44.13,25/7/22 15:21:4,0.16,0,0.11
15:16:43.05,25/7/22 15:21:3,0.15,0,0.1
15:16:42.01,25/7/22 15:21:2,0.16,0,0.11
15:16:40.93,25/7/22 15:21:1,0.16,0,0.11
15:16:39.87,25/7/22 15:21:0,0.15,0,0.1
15:16:38.80,25/7/22 15:20:59,0.16,0,0.11
15:16:37.72,25/7/22 15:20:58,0.15,0,0.1
15:16:36.68,25/7/22 15:20:57,0.16,0,0.11
15:16:35.60,25/7/22 15:20:56,0.16,0,0.11
15:16:34.53,25/7/22 15:20:55,0.15,0,0.1
15:16:33.49,25/7/22 15:20:54,0.16,0,0.11
15:16:32.42,25/7/22 15:20:53,0.16,0,0.11
15:16:31.35,25/7/22 15:20:52,0.15,0,0.1
15:16:30.28,25/7/22 15:20:51,0.16,0,0.11
15:16:29.21,25/7/22 15:20:49,0.17,0,0.11
15:16:28.16,25/7/22 15:20:48,0.15,0,0.1
15:16:27.10,25/7/22 15:20:47,0.15,0,0.1
15:16:26.02,25/7/22 15:20:46,0.16,0,0.11
15:16:24.94,25/7/22 15:20:45,0.15,0,0.1
15:16:23.87,25/7/22 15:20:44,0.16,0,0.11
15:16:22.80,25/7/22 15:20:43,0.15,0,0.1
15:16:21.77,25/7/22 15:20:42,0.16,0,0.11
15:16:20.72,25/7/22 15:20:41,0.16,0,0.11
15:16:19.68,25/7/22 15:20:40,0.16,0,0.11
15:16:18.60,25/7/22 15:20:39,0.16,0,0.11
15:16:17.56,25/7/22 15:20:38,0.15,0,0.1
15:16:16.52,25/7/22 15:20:37,0.15,0,0.1
15:16:15.47,25/7/22 15:20:36,0.15,0,0.1
15:16:14.43,25/7/22 15:20:35,0.15,0,0.1
15:16:13.36,25/7/22 15:20:34,0.15,0,0.1
15:16:12.29,25/7/22 15:20:33,0.15,0,0.1
15:16:11.20,25/7/22 15:20:31,0.15,0,0.1
15:16:10.15,25/7/22 15:20:30,0.17,0,0.11
15:16:09.08,25/7/22 15:20:29,0.15,0,0.1
15:16:07.99,25/7/22 15:20:28,0.16,0,0.11
15:16:06.94,25/7/22 15:20:27,0.15,0,0.1
15:16:05.88,25/7/22 15:20:26,0.16,0,0.11
15:16:04.84,25/7/22 15:20:25,0.16,0,0.11
15:16:03.76,25/7/22 15:20:24,0.16,0,0.11
15:16:02.70,25/7/22 15:20:23,0.15,0,0.1
15:16:01.63,25/7/22 15:20:22,0.16,0,0.11
15:16:00.58,25/7/22 15:20:21,0.15,0,0.1
15:15:59.54,25/7/22 15:20:20,0.15,0,0.1
15:15:58.49,25/7/22 15:20:19,0.15,0,0.1
15:15:57.42,25/7/22 15:20:18,0.15,0,0.1
15:15:56.35,25/7/22 15:20:17,0.16,0,0.11
15:15:55.27,25/7/22 15:20:16,0.15,0,0.1
15:15:54.21,25/7/22 15:20:14,0.15,0,0.1
15:15:53.13,25/7/22 15:20:13,0.15,0,0.1
15:15:52.06,25/7/22 15:20:12,0.16,0,0.11
15:15:51.00,25/7/22 15:20:11,0.15,0,0.1
15:15:49.93,25/7/22 15:20:10,0.16,0,0.11
15:15:48.85,25/7/22 15:20:9,0.15,0,0.1
15:15:47.81,25/7/22 15:20:8,0.15,0,0.1
15:15:46.76,25/7/22 15:20:7,0.15,0,0.1
15:15:45.71,25/7/22 15:20:6,0.15,0,0.1
15:15:44.64,25/7/22 15:20:5,0.15,0,0.1
15:15:43.57,25/7/22 15:20:4,0.16,0,0.11
15:15:42.50,25/7/22 15:20:3,0.15,0,0.1
15:15:41.46,25/7/22 15:20:2,0.16,0,0.11
15:15:40.41,25/7/22 15:20:1,0.16,0,0.11
15:15:39.35,25/7/22 15:20:0,0.16,0,0.11
15:15:38.30,25/7/22 15:19:59,0.15,0,0.1
15:15:37.25,25/7/22 15:19:58,0.15,0,0.1
15:15:36.21,25/7/22 15:19:56,0.15,0,0.1
15:15:35.13,25/7/22 15:19:55,0.15,0,0.1
15:15:34.06,25/7/22 15:19:54,0.16,0,0.11
15:15:33.02,25/7/22 15:19:53,0.15,0,0.1
15:15:31.98,25/7/22 15:19:52,0.15,0,0.1
15:15:30.91,25/7/22 15:19:51,0.15,0,0.1
15:15:29.83,25/7/22 15:19:50,0.16,0,0.11
15:15:28.76,25/7/22 15:19:49,0.15,0,0.1
15:15:27.69,25/7/22 15:19:48,0.16,0,0.11
15:15:26.62,25/7/22 15:19:47,0.15,0,0.1
15:15:25.55,25/7/22 15:19:46,0.16,0,0.11
15:15:24.48,25/7/22 15:19:45,0.17,0,0.11
15:15:23.40,25/7/22 15:19:44,0.15,0,0.1
15:15:22.33,25/7/22 15:19:43,0.16,0,0.11
15:15:21.30,25/7/22 15:19:42,0.15,0,0.1
15:15:20.25,25/7/22 15:19:41,0.15,0,0.1
15:15:19.21,25/7/22 15:19:39,0.15,0,0.1
15:15:18.13,25/7/22 15:19:38,0.15,0,0.1
15:15:17.09,25/7/22 15:19:37,0.16,0,0.11
15:15:16.01,25/7/22 15:19:36,0.16,0,0.11
15:15:14.94,25/7/22 15:19:35,0.15,0,0.1
15:15:13.87,25/7/22 15:19:34,0.16,0,0.11
15:15:12.81,25/7/22 15:19:33,0.15,0,0.1
15:15:11.75,25/7/22 15:19:32,0.16,0,0.11
15:15:10.69,25/7/22 15:19:31,0.16,0,0.11
15:15:09.64,25/7/22 15:19:30,0.15,0,0.1
15:15:08.56,25/7/22 15:19:29,0.15,0,0.1
15:15:07.53,25/7/22 15:19:28,0.16,0,0.11
15:15:06.45,25/7/22 15:19:27,0.16,0,0.11
15:15:05.38,25/7/22 15:19:26,0.15,0,0.1
15:15:04.31,25/7/22 15:19:25,0.16,0,0.11
15:15:03.24,25/7/22 15:19:24,0.15,0,0.1
15:15:02.20,25/7/22 15:19:22,0.15,0,0.1
15:15:01.13,25/7/22 15:19:21,0.15,0,0.1
